試驗藥品監視新藥成分,報告書准,報告書不准,報告書小計
Aceclofenac tab 100mg,3,0,2
Acemetacin cap 60mg,2,0,2
Acyclovir tab 200mg,2,0,2
Acyclovir tab 400mg,4,1,5
Acyclovir tab 800mg,3,0,3
Alendronate tab 70mg,2,0,2
Alfuzosin tab 10mg,2,0,2
Alfuzosin XL tab 10mg,1,0,1
Alminoprofen tab 300mg,2,0,2
Alprazolam SR tab 1mg,1,0,1
Alprazolam tab 0.5mg,6,0,6
Alprazolam tab 1mg,2,0,2
Alprazolam tab 2mg,1,0,1
Ambroxol CR cap 75mg,1,0,1
Ambroxol solution 3mg/ml,2,0,2
Ambroxol SR tab 75mg,3,0,3
Ambroxol tab 30mg,17,5,22
Ambroxol tab 60mg,1,0,1
Amezinium metilsulfate tab 10mg,1,0,1
Amisulpride tab 200mg,6,2,8
Amisulpride tab 400mg,1,0,1
Amlodipine tab 10mg,4,0,4
Amlodipine tab 5mg,19,1,20
Amlodipine tab 5mg + Benazepril 10mg,3,0,3
Amlodipine tab 5mg + Valsartan 80mg,2,0,2
Amoxicillin 125mg/Clavulanic acid 31.25mg/5ml syrup,2,0,2
Amoxicillin 250mg/Clavulanic acid 125mg tab,1,0,1
Amoxicillin 500mg/Clavulanic acid 125mg tab,2,0,2
Amoxicillin 875mg/Clavulanic acid 125mg tab,1,0,1
Ampicillin 1g+Sulbactam 0.5g inj,2,0,2
Anastrozole tab 1mg,5,0,5
Aripiprazole oral solution 1 mg/ml,1,0,1
Aripiprazole tab 10mg,8,2,10
Aripiprazole tab 15mg,1,0,1
Aripiprazole tab 20mg,3,0,3
Atomoxetine Cap 25mg,1,0,1
Atomoxetine HCl Tab 40mg,2,0,2
Atorvastatin tab 10mg,6,0,6
Atorvastatin tab 20mg,1,0,1
Atorvastatin tab 40mg,8,0,8
Azelastine Nasal Spray 0.1%W/V,2,0,2
Azithromycin powder for susp 47.78mg/g,1,0,1
Azithromycin tab 250mg,3,0,3
Bambuterol tab 10mg,4,1,5
Benidipine tab 4mg,1,0,1
Benzonatate cap 100mg,1,0,1
Benzonatate soft cap 100mg,2,1,3
Benzonatate soft cap 200mg,1,0,1
Betaxolol tab 20mg,3,0,3
Bicalutamide tab 50mg,1,0,1
Bisoprolol fumarate tab 1.25mg,4,0,4
Bisoprolol fumarate tab 5mg,11,0,11
Brotizolam tab 0.25 mg,1,0,1
Budesonide inhaler 200 Ug/dose,1,0,1
Budesonide/Procaterol hydrochloride hydrate HFA MDI 180mcg/10mcg,1,0,1
Buprenorphine 8mg/Naloxone 2mg SL tab,1,0,1
Buprenorphine SL tab 8mg,1,0,1
Bupropion ER tab 300mg,1,0,1
Bupropion SR tab 150mg,8,0,8
Buspirone tab 10mg,4,1,5
Buspirone tab 5mg,2,1,3
