申請公司名稱,製造商名稱,申請產品名稱,抑制肉毒桿菌因子,查驗登記字號,發證日期,有效日期
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,沙茶芝麻豆干,商業滅菌,16010001,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,醬燒豆乾,商業滅菌,16010002,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,滷肉杏仁豆干,商業滅菌,16010003,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,日式素豆干(原味),商業滅菌,16010004,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,日式素豆干(綠茶),商業滅菌,16010005,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,五香醬燒豆干,商業滅菌,16010006,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,香辣醬燒豆干,商業滅菌,16010007,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,沙茶豆乾,商業滅菌,16010008,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,日式素豆干(香辣),商業滅菌,16010009,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,大阪豆乾(辣味),商業滅菌,16010010,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,大阪豆乾(綠茶),商業滅菌,16010011,100年11月21日,105年11月21日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,滷肉豆乾,商業滅菌,16010012,100年11月21日,105年11月21日
天仁茶業(股),福記冷凍食品股份有限公司,綠茶豆干,商業滅菌,1010001,100年11月21日,105年11月21日
金嘉隆商行,金嘉隆商行,炭燒豆干,冷藏10天,15010001,100年11月21日,105年11月21日
天素食品有限公司,天素食品有限公司,豆乾,水活性<0.85,9010001,100年11月21日,105年11月21日
吉香食品行,新東陽(股),麻辣酵母豆腐,商業滅菌,5010001,100年11月21日,105年11月21日
大房食品股份有限公司,得意中華食品股份有限公司,大房五香豆干丁,商業滅菌,5050003,100年12月27日,105年12月27日
大房食品股份有限公司,得意中華食品股份有限公司,大房綜合豆干(原味、香椿),商業滅菌,5050008,100年1月13日,105年1月13日
大房食品股份有限公司,得意中華食品股份有限公司,大房綜合豆干(沙茶、桂花),商業滅菌,5050009,100年1月13日,105年1月13日
大房食品股份有限公司,得意中華食品股份有限公司,大房真空手工烏豆干,商業滅菌,5050004,100年12月27日,105年12月27日
大房食品股份有限公司,得意中華食品股份有限公司,大房原味豆干丁,商業滅菌,5050001,100年12月27日,105年12月27日
大房食品股份有限公司,得意中華食品股份有限公司,大房辣味豆干丁,商業滅菌,5050002,100年12月27日,105年12月27日
大房食品股份有限公司,得意中華食品股份有限公司,大房紅麴豆干,商業滅菌,5050007,100年1月13日,105年1月13日
大房食品股份有限公司,得意中華食品股份有限公司,大房國寶級豆干-真空手工烏豆干,商業滅菌,5050005,100年12月27日,105年12月27日
大房食品股份有限公司,得意中華食品股份有限公司,大房真空干,商業滅菌,5050006,100年12月28日,105年12月28日
大和食品廠,大和食品廠,大溪大豆干,商業滅菌,5020001,100年12月1日,105年12月1日
大和食品廠,大和食品廠,大溪黑豆干,商業滅菌,5020010,100年12月1日,105年12月1日
大和食品廠,大和食品廠,大溪麻辣豆干,商業滅菌,5020009,100年12月1日,105年12月1日
大和食品廠,大和食品廠,大溪黑胡椒炸豆腐,商業滅菌,5020008,100年12月1日,105年12月1日
大和食品廠,大和食品廠,大溪黑胡椒豆干,商業滅菌,5020007,100年12月1日,105年12月1日
大和食品廠,大和食品廠,大溪黑豆干2入,商業滅菌,5020006,100年12月1日,105年12月1日
大和食品廠,大和食品廠,大溪沙茶豆干,商業滅菌,5020002,100年12月1日,105年12月1日
大和食品廠,大和食品廠,大溪百頁豆腐,商業滅菌,5020011,100年12月1日,105年12月1日
大和食品廠,大和食品廠,大溪蜜汁豆干,商業滅菌,5020003,100年12月1日,105年12月1日
大和食品廠,大和食品廠,大溪五香滷印干,商業滅菌,5020004,100年12月1日,105年12月1日
大和食品廠,大和食品廠,大溪魯豆腱,商業滅菌,5020005,100年12月1日,105年12月1日
帝王食品企業,大和食品廠,大溪大豆干,商業滅菌,5030001,100年12月14日,105年12月14日
豐譽食品工業股份有限公司,大和食品廠,大溪黑胡椒炸豆腐,商業滅菌,5040007,100年12月23日,105年12月23日
豐譽食品工業股份有限公司,大和食品廠,大溪百頁豆腐,商業滅菌,5040010,100年12月23日,105年12月23日
豐譽食品工業股份有限公司,大和食品廠,大溪大豆干,商業滅菌,5040001,100年12月23日,105年12月23日
豐譽食品工業股份有限公司,大和食品廠,大溪黑豆干2入,商業滅菌,5040011,100年12月23日,105年12月23日
豐譽食品工業股份有限公司,大和食品廠,大溪魯豆腱,商業滅菌,5040005,100年12月23日,105年12月23日
豐譽食品工業股份有限公司,大和食品廠,大溪黑豆干,商業滅菌,5040009,100年12月23日,105年12月23日
豐譽食品工業股份有限公司,大和食品廠,大溪黑胡椒豆干,商業滅菌,5040006,100年12月23日,105年12月23日
豐譽食品工業股份有限公司,大和食品廠,大溪蜜汁豆干,商業滅菌,5040003,100年12月23日,105年12月23日
豐譽食品工業股份有限公司,大和食品廠,大溪沙茶豆干,商業滅菌,5040002,100年12月23日,105年12月23日
豐譽食品工業股份有限公司,大和食品廠,大溪五香滷印干,商業滅菌,5040004,100年12月23日,105年12月23日
豐譽食品工業股份有限公司,大和食品廠,大溪麻辣豆干,商業滅菌,5040008,100年12月23日,105年12月23日
吉香食品行,金春勝食品冷凍股份有限公司,麻辣酵母豆腐,商業滅菌,5010002,100年12月1日,105年12月1日
吉香食品行,金春勝食品冷凍股份有限公司,香筍酵母豆腐,商業滅菌,5010003,100年12月1日,105年12月1日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,多層乾(香辣),商業滅菌,16010013,100年12月23日,105年12月23日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,阿里山茶豆干,商業滅菌,16010014,100年12月23日,105年12月23日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,多層干(三星蔥),商業滅菌,16010015,100年12月24日,105年12月24日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,阿薩米紅茶豆乾丁,商業滅菌,16010016,100年12月23日,105年12月23日
嘉軒食品廠有限公司,嘉軒食品廠有限公司,壽司皮(長方形),商業滅菌,2010001,100年12月14日,105年12月14日
嘉軒食品廠有限公司,嘉軒食品廠有限公司,壽司皮(三角形),商業滅菌,2010002,100年12月14日,105年12月14日
戴記素食行,戴記素食行,白雞,冷凍,7010001,100年12月14日,105年12月14日
嘉軒食品廠有限公司,嘉軒食品廠有限公司,壽司皮(四角形),商業滅菌,2010003,100年12月30日,105年12月30日
得意中華食品股份有限公司,得意中華食品股份有限公司,頑皮原味豆干(80g),商業滅菌,16020001,100年12月30日,105年12月30日
大興吉國際企業有限公司,嘉軒食品廠有限公司,壽司皮(四角形),商業滅菌,2020002,101年1月12日,106年1月12日
大興吉國際企業有限公司,嘉軒食品廠有限公司,壽司皮(三角形),商業滅菌,2020003,101年1月12日,106年1月12日
新蓬萊食品股份有限公司,新蓬萊食品股份有限公司,香辣豆瓣醬,pH值<4.6,5060001,101年1月12日,106年1月12日
新蓬萊食品股份有限公司,新蓬萊食品股份有限公司,陳年豆醬,pH值<4.6,5060002,101年1月12日,106年1月12日
新蓬萊食品股份有限公司,新蓬萊食品股份有限公司,壺底蔭醬,pH值<4.6,5060003,101年2月8日,106年2月8日
黃大目食料品股份有限公司,黃大目食料品股份有限公司(西螺廠),手作豆干,商業滅菌,5070001,101年1月18日,106年1月18日
醍醐大師店,福記冷凍食品股份有限公司,三星蔥醬燒豆干,商業滅菌,2030003,101年2月9日,106年2月9日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,奮起湖茶葉豆干(香辣),商業滅菌,16010017,101年1月31日,106年1月31日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,奮起湖茶葉豆干(綠茶),商業滅菌,16010018,101年1月31日,106年1月31日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,大阪燒豆干(原味),商業滅菌,16010019,101年1月31日,106年1月31日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,大阪燒豆干(香辣),商業滅菌,16010020,101年1月31日,106年1月31日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,大阪燒豆干(綠茶),商業滅菌,16010021,101年1月31日,106年1月31日
福記冷凍食品股份有限公司,福記冷凍食品股份有限公司,日式生機大黑干,商業滅菌,16010022,101年1月31日,106年1月31日
得意中華食品股份有限公司,得意中華食品股份有限公司,頑皮原味豆干(80g),商業滅菌,16020001,101年1月18日,106年1月18日
得意中華食品股份有限公司,得意中華食品股份有限公司,頑皮辣味豆干(80g),商業滅菌,16020002,101年2月8日,106年2月8日
得意中華食品股份有限公司,得意中華食品股份有限公司,原味豆干(6片),商業滅菌,16020003,101年1月18日,106年1月18日
得意中華食品股份有限公司,得意中華食品股份有限公司,辣味豆干(6片),商業滅菌,16020004,101年2月22日,106年2月22日
得意中華食品股份有限公司,得意中華食品股份有限公司,紅麴豆干(2入),商業滅菌,16020005,101年2月22日,106年2月22日
得意中華食品股份有限公司,得意中華食品股份有限公司,香椿豆干(2入),商業滅菌,16020006,101年2月22日,106年2月22日
得意中華食品股份有限公司,得意中華食品股份有限公司,辣味豆干(2入),商業滅菌,16020007,101年2月22日,106年2月22日
得意中華食品股份有限公司,得意中華食品股份有限公司,咖哩豆干(2入),商業滅菌,16020008,101年2月22日,106年2月22日
得意中華食品股份有限公司,得意中華食品股份有限公司,原味豆干(2入),商業滅菌,16020009,101年2月22日,106年2月22日
山地屋商行,福記冷凍食品股份有限公司,雲南擺夷豆干(香辣),商業滅菌,12010001,101年2月22日,106年2月22日
山地屋商行,福記冷凍食品股份有限公司,雲南擺夷豆干(綠茶),商業滅菌,12010002,101年2月22日,106年2月22日
博士鴨畜產品實業有限公司,得意中華食品股份有限公司,原味豆干(150g),商業滅菌,4010001,101年7月26日,106年7月26日
博士鴨畜產品實業有限公司,得意中華食品股份有限公司,辣味豆干(150g),商業滅菌,4010002,101年7月26日,106年7月26日
黃大目食料品股份有限公司,黃大目食料品股份有限公司,真空滷百頁豆腐,冷藏並保存十天,5070005,101年5月9日,106年5月9日
黃大目食料品股份有限公司,黃大目食料品股份有限公司,真空滷豆干(大),冷藏並保存十天,5070002,101年5月9日,106年5月9日
黃大目食料品股份有限公司,黃大目食料品股份有限公司,真空滷豆干(小),冷藏並保存十天,5070003,101年5月9日,106年5月9日
黃大目食料品股份有限公司,黃大目食料品股份有限公司,真空滷素雞,冷藏並保存十天,5070004,101年5月9日,106年5月9日
金椿茶油工房有限公司,福記冷凍食品股份有限公司,茶油原味豆乾(2入),商業滅菌,8010001,101年4月12日,106年4月12日
金椿茶油工房有限公司,福記冷凍食品股份有限公司,茶油辣味豆乾(2入),商業滅菌,8010002,101年4月12日,106年4月12日
歐力福龍虎商行,福記冷凍食品股份有限公司,龍虎功夫豆干(茶燻),商業滅菌,16030002,101年4月12日,106年4月12日
歐力福龍虎商行,福記冷凍食品股份有限公司,龍虎功夫豆干(香辣),商業滅菌,16030001,101年4月12日,106年4月12日
安記食品有限公司,安記食品有限公司,安記手工香豆干(黑胡椒),商業滅菌,11010003,101年11月1日,106年11月1日
安記食品有限公司,安記食品有限公司,安記手工香豆干(辣味),商業滅菌,11010002,101年11月1日,106年11月1日
安記食品有限公司,安記食品有限公司,安記手工香豆干(原味),商業滅菌,11010001,101年11月1日,106年11月1日
安記食品有限公司,安記食品有限公司,滷豆干(辣味),商業滅菌,11010005,101年11月26日,106年11月26日
安記食品有限公司,安記食品有限公司,滷豆干(原味),商業滅菌,11010004,101年11月1日,106年11月1日
帝菁商號,得意中華食品股份有限公司,酒香原味豆干(300g),商業滅菌,12020001,101年5月25日,106年5月25日
帝菁商號,得意中華食品股份有限公司,酒香辣味豆干(300g),商業滅菌,12020002,101年5月25日,106年5月25日
台灣青啤股份有限公司,得意中華食品股份有限公司,酒香原味豆干(300g),商業滅菌,17010001,101年5月9日,106年5月9日
台灣青啤股份有限公司,得意中華食品股份有限公司,酒香辣味豆干(300g),商業滅菌,17010002,101年5月9日,106年5月9日
得意中華食品股份有限公司,得意中華食品股份有限公司,酒香原味豆干(300g),商業滅菌,16020010,101年5月9日,106年5月9日
得意中華食品股份有限公司,得意中華食品股份有限公司,酒香辣味豆干(300g),商業滅菌,16020011,101年5月9日,106年5月9日
德久食品有限公司,德久食品有限公司,滷味豆乾,商業滅菌,18010001,101年6月27日,106年6月27日
德久食品有限公司,德久食品有限公司,滷味豆乾(微辣),商業滅菌,18010002,101年6月27日,106年6月27日
德久食品有限公司,德久食品有限公司,勁滷豆乾,商業滅菌,18010003,101年6月27日,106年6月27日
德久食品有限公司,德久食品有限公司,故鄉豆乾,商業滅菌,18010004,101年6月27日,106年6月27日
得意中華食品股份有限公司,得意中華食品股份有限公司,辣味豆干(80g),商業滅菌,16020012,101年7月25日,106年7月25日
麥君食品有限公司,麥君食品有限公司,千層干,水活性<0.85,9020001,101年7月25日,106年7月25日
東和食品工業股份有限公司,東和食品工業股份有限公司,麻辣油豆腐,商業滅菌,4020001,101年10月9日,106年10月9日
東成茶葉企業有限公司,福記冷凍食品股份有限公司,日式素豆干(香辣),商業滅菌,2050001,101年10月31日,106年2月8日
東成茶葉企業有限公司,福記冷凍食品股份有限公司,日式素豆干(綠茶),商業滅菌,2050002,101年10月31日,106年2月8日
海力捷國際開發股份有限公司,福記冷凍食品股份有限公司,美好人生臼醬豆干(五香口味),商業滅菌,2060001,101年11月8日,106年11月8日
海力捷國際開發股份有限公司,福記冷凍食品股份有限公司,美好人生臼醬豆干(紅麴口味),商業滅菌,2060002,101年11月8日,106年11月8日
海力捷國際開發股份有限公司,福記冷凍食品股份有限公司,美好人生臼醬豆干(香椿口味),商業滅菌,2060003,101年11月8日,106年11月8日
麥君食品有限公司,麥君食品有限公司,千層干,水活性<0.85,9020001,101年12月6日,106年12月6日
福記冷凍食品有限公司,福記冷凍食品有限公司,有機五香豆干,商業滅菌,16010024,102年2月5日,107年2月5日
福記冷凍食品有限公司,福記冷凍食品有限公司,燕麥豆干,商業滅菌,16010023,102年2月5日,107年2月5日
得意中華食品股份有限公司,得意中華食品股份有限公司,辣味豆干(120g),商業滅菌,16020013,102年3月4日,107年3月4日
得意中華食品股份有限公司,得意中華食品股份有限公司,原味豆干(120g),商業滅菌,16020014,102年3月4日,107年3月4日
宗饌行,得意中華食品股份有限公司,紅麴豆干(原味300g),商業滅菌,12030001,102年3月15日,107年3月15日
宗饌行,得意中華食品股份有限公司,紅麴豆干(300g),商業滅菌,12030002,102年5月22日,107年5月22日
自在廚房有限公司,自在廚房有限公司,滷豆干-滷嗅味干,水活性<0.94,17020001,102年4月15日,107年4月15日
