編號,通報時間,中文品名,英文品名,許可證字號,成分學名,劑型劑量,許可證持有藥商,短缺原因,預估解決時間,備註
1,2012,成分：PSEUDOEPHEDRINE,未說明,未說明,PSEUDOEPHEDRINE,x,未說明,局長信箱通報,有同成份替代藥品使用，暫無醫療上問題。,
2,2012,硫酸阿托品點眼液０．５％,ATROPINE SULPHATE OPHTHALMIC SOLUTION 0.5%,衛署藥製字第032058號,ATROPINE SULFATE,1 MG/ML,五福化學製藥股份有限公司　,PICS查廠,已恢復供貨,
3,2012,腸寶錠,CHANPON TABLETS,衛署藥製字第009638號,MEPENZOLATE BROMIDE,15 MG,永昌藥品股份有限公司,廠商缺貨,已恢復供貨,
4,2012,法布瑞酉每凍晶注射劑,FABRAZYME INJECTION,罕菌疫輸字第000005號,AGALSIDASE BETA,35MG/ VIAL,賽諾菲股份有限公司,因製造廠變更暫時缺貨,已恢復供貨,
5,2012,庫魯化錠８５０毫克,GLUCOPHAGE TABLET 850MG,衛署藥輸字第018231號,,850MG,嘉德藥品企業股份有限公司,廠商缺貨,已恢復供貨,
6,2012,克焦慮錠,KALMA TABLETS,衛署藥輸字第021035號,ALPRAZOLAM,0.25MG、0.5MG、1MG,海喬國際股份有限公司,廠商缺貨,已恢復供貨,
7,2012,吉多利錠　,KETOSTERIL TABLETS　,衛署藥輸字第018273號,"L-HISTIDINE, L-LYSINE ACETATE, L-THREONINE, L-TRYPTOPHAN, L-TYROSINE, CALCIUM-3-METHYL-2-OXO-VALERATE, CALCIUM-4-METHYL-2-OXO-VALERATE, CALCIUM-3-METHYL-2-OXO-BUTYRATE, CALCIUM-2-OXO-3-PHENYL-PROPIONATE, CALCIUM-DL-2-HYDROXY-4-(METHYL-THIO)-BUTYRATE",x,臺灣費森尤斯卡比股份有限公司,廠商缺貨,已恢復供貨,
8,2012,敏立舒注射液,MILLISROL INJECTION　,衛署藥輸字第018979號,NITROGLYCERIN,10ML、100ML,臺灣日化股份有限公司　,製造廠出貨延遲,已恢復供貨,
9,2012,滅菌靈懸液,Mycostatin Oral Suspension,衛署藥製字第034904號,NYSTATIN,24ML,臺灣必治妥施貴寶股份有限公司,廠商停售,有同成份替代藥品使用，暫無醫療上問題。,
10,2012,耐適恩錠２０公絲,NEXIUM TABLETS 20MG,衛署藥輸字第023225號,ESOMEPRAZOLE MAGNESIUM TRIHYDRATE,20MG,臺灣阿斯特捷利康股份有限公司,廠商缺貨,已恢復供貨,
11,2012,保乳調錠,PARLODEL TABLETS,衛署藥製字第030882號,BROMOCRIPTINE MESILATE,2.5MG,臺灣諾華股份有限公司,主成分原料短缺,有同成份替代藥品使用，暫無醫療上問題。,
