類別,藥品製造許可編號,藥品製造許可有效期限,名稱,地址,電話,監製藥師,核准劑型,核定品項,核定作業內容,備註
西藥製劑廠,(AP)0035001號,104年7月24日,永信藥品工業股份有限公司台中幼獅廠,台中市大甲區日南里工九路27號,04-26815181,,無菌製劑：,,,
滅菌懸液注射劑（無菌製備）、乾粉注射劑（無菌製備）、注射液劑（無菌製備、最終滅菌）、無菌眼耳鼻用液劑（無菌製備）、凍晶注射劑(無菌製備)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：懸液劑（溶液劑）。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、腸衣錠、錠劑、顆粒劑、散劑）、膠囊劑、栓劑。,,,,,,,,,,
除生產一般製劑外，另生產女性荷爾蒙類製劑（溶液劑、糖衣錠、錠劑及膠囊劑）及細胞毒類製劑（注射液劑）。,,,,,,,,,,
西藥製劑廠,(AP)0023002號,104年9月30日,政德製藥股份有限公司,雲林縣大埤鄉嘉興村豐田路2號,05-5911101,,無菌製劑：,,,
乾粉注射劑（無菌製備）、注射液劑（無菌製備、最終滅菌）、灌洗用液劑（最終滅菌）、滅菌懸液注射劑（無菌製備）、無菌眼耳鼻用液劑（無菌製備）。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：懸液劑（溶液劑）。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：膜衣錠（腸衣錠、錠劑、顆粒劑、散劑）、膠囊劑。,,,,,,,,,,
除生產一般製劑外，另生產青黴素類製劑（乾粉注射劑、顆粒劑、散劑、膠囊劑）、頭孢子菌素類製劑（乾粉注射劑、顆粒劑、膠囊劑）及碳青黴烯類製劑（乾粉注射劑）。,,,該廠於98年8月4日切結暫不生產下列產品（依98年8月10日署授食字第0981401290號函）： 愛仕達錠(衛署藥製字第039599號)、普樂錠(衛署藥製字第039578號)、愛仕達凝膠(衛署藥製字第036969號)、持效睪丸素注射液(衛署藥製字第15216號)、長效性兩性仕得保注射液(衛署藥製字第15031號)、特補愛斯太蒙針(衛署藥製字第002920號)、特補美福樂針(衛署藥製字第002922號)、保樂嬌針(衛署藥製字第003283號)、特補黃體素針(衛署藥製字第003052號)、特補鐵士得朗針(衛署藥製字第003053號)、鐵士得朗針(衛署藥製字第003266號)。,,,,,,,
西藥製劑廠,(AP)0032003號,104年9月30日,台灣東洋藥品工業股份有限公司中壢廠,桃園縣中壢市中華路一段838 號,03-4522160,,無菌製劑：,,,
注射液劑（無菌製備、最終滅菌）。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
半固體劑型：軟膏劑（含乳膏劑）。,,,,,,,,,,
固體劑型：膜衣錠（含錠劑、顆粒劑、散劑）、膠囊劑。,,,,,,,,,,
除生產一般製劑外，另生產細胞毒類製劑（注射液劑及膠囊劑）。,,,,,,,,,,
西藥製劑廠,(AP)0410004號,104年12月11日,生達化學製藥股份有限公司二廠,台南市新營區開元路154號,06-6361516,,非無菌製劑：,,,
液體劑型：懸液劑（溶液劑）。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑）、膠囊劑、栓劑及其他（含抗生素紗布）。,,,依該廠98年12月10日達開字第98820號函切結暫不生產下列產品： 貼樂蒙貼片4公絲/10平方公分（氫偶素）〝生達〞(衛署藥製字第042777號)。,,,,,,,
西藥製劑廠,(AP)0081005號,104年12月23日,健喬信元醫藥生技股份有限公司健喬廠,新竹縣湖口鄉中興村工業一路6號 ,03-5982811,,非無菌製劑：,,,
液體劑型：懸液劑（溶液劑）、氣化噴霧劑。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、錠劑、散劑）、膠囊劑。,,,,,,,,,,
除生產一般製劑外，另生產女性荷爾蒙類製劑（膜衣錠、顆粒劑）。,,,,,,,,,,
西藥製劑廠,(AP)0409006號,104年11月12日,中國化學製藥股份有限公司台中工廠,台中市西屯區工業15路10號,04-23596818,,無菌製劑（青黴素類）：,,,
乾粉注射劑（無菌製備）、凍晶注射劑（無菌製備）。,,,,,,,,,,
非無菌製劑（青黴素類）：,,,,,,,,,,
固體劑型：膜衣錠（錠劑、顆粒劑、散劑）、膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0043007號,104年12月25日,強生化學製藥廠股份有限公司,新北市三重區三和路四段77號2-3樓、79號1-6樓,02-22878405,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
固體劑型：糖衣錠（含膜衣錠、錠劑、顆粒劑、散劑）、膠囊劑。,,,該廠於98年12月25日切結暫不生產女性荷爾蒙產品（依99年4月22日署授食字第0991101790號函）： ”強生”諾無錠0.75 毫克（衛署藥製字第050228號）。  ,,,,,,,
西藥製劑廠,(AP)0256008號,104年12月23日,晟德大藥廠股份有限公司新竹廠,新竹縣湖口鄉實踐路2號,03-5981829,,非無菌製劑：,,,
液體劑型：懸液劑（溶液劑）。,,,,,,,,,,
