製劑別,申請廠商,製劑名稱,製造批號,有效期限,包裝,封緘數量,封緘劑量,封緘日期,備註
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,紐蒙肺多價性肺炎鏈球菌疫苗,"G3808,0535R/0652720",961206.0,0.5mL/瓶 ×10瓶/盒,"0.5mL × 10瓶/盒 × 1,472盒",14720,950120,"破損及缺號：AC873849,AC873392,AC873868,AC873678,AC874131,AC874431,AC874436"
血液製劑類,瑪里士實業有限公司,瑪里斯兔抗胸腺細胞免疫球蛋白,TH130-04,970531.0,5 mL/瓶/盒,5 mL/瓶/盒 × 395盒,395,950113,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,賀百克B型流行感冒嗜血桿菌疫苗,"A72CA159A,A72FA159A/AHIBB364A",970930.0,1劑/瓶/盒,"1劑/瓶/盒 × 12,970盒",12970,950210,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,嬰護寧,"AC14B022AA,AC14B022A",970531.0,0.5 mL/支/盒,"0.5 mL/支/盒 × 24,090盒",24090,950310,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,派立克,"A69CA409A, A69FA409A/AMJRB248A",960731.0,1劑/瓶/盒,"1劑/瓶/盒×1,532盒",1532,950217,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗),"A20CA200A, A20LA200A/A20FA200A",970331.0,1 劑/盒,"1 劑/盒 × 11,775 盒",11775,950309,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,嬰護寧六合一疫苗,"A21CA143A,A21LA143A/A21FA143A",970331.0,1劑/盒,"1劑/盒 × 60,770盒",60770,950321,
血液製劑類,寶隆貿易股份有限公司,百特威保500U抗抑制子凝血複合物,VNF1A009,960831.0,500 U/vial/box,500 U/瓶/盒 x 960盒,960,950208,
疫苗及類毒素類,美商惠氏藥廠(亞洲)股份有限公司台灣分公司,沛兒肺炎球菌七價接合型疫苗-針筒裝注射劑,"18955, A56078C",970411.0,0.5 mL/支/盒,"0.5 mL/支/盒 × 22,220盒",22220,950215,"小封緘條缺AC993005,AC984423,AC989000"
血液製劑類,寶隆貿易股份有限公司,百特25%人體正常血清白蛋白注射劑,LA05D118AA,961017.0,50 mL/瓶,"50 mL/瓶 × 16,996瓶",16996,950214,"缺AC916041,916048,916149等36張."
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,32544411E,990531.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 9,986盒",9986,950125,"毀損封條AC920251,252,253;AC922003,011,012,232;AC923079共8張，跳號封條共52張。"
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,33244411A,990731.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 19,946盒",19946,950125,"毀損封條AC880259,882963,883124,876147,875213,875720共6張，跳號封條AC880994,882999,883006,883122,878792,887633,887839,884300,876602,876613,875415共11張。"
血液製劑類,台灣綠十字股份有限公司,基立福人免疫球蛋白靜脈注射液5%,IBGB5NBNA1,960831.0,50mL/瓶/盒,"50mL/瓶/盒×1,805盒",1805,950213,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,麻疹、腮腺炎及德國麻疹三種混合疫苗注射劑,"G3617,0814R/0652102",961102.0,1 劑/瓶/盒,"1 劑/瓶/盒 × 2,034盒",2034,950206,"19張缺號:AC954056,954065,954071-954073,954075,954091,954097,954121,954127,954153,954154,954156,954159,954171,954177,954180,954181,954186."
其他生物藥品類,香港商愛力根有限公司台灣分公司,愛力根保妥適乾粉注射劑,C1379C2,970630.0,100 units/瓶/盒,"100 units/瓶/盒 × 7,781盒",7781,950127,缺73張
其他生物藥品類,海喬國際股份有限公司,麗舒妥注射劑500單位,581C,960531.0,500 units/瓶/盒,500 units/瓶/盒 × 474盒,474,950127,
血液製劑類,吉發企業股份有限公司,貝靈血清蛋白注射液20%,32544411E,990531.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 8,243盒",8243,950125,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,32244411E,990531.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 20,795盒",20795,950123,
疫苗及類毒素類,美商惠氏藥廠(亞洲)股份有限公司台灣分公司,沛兒肺炎球菌七價接合型疫苗-針筒裝注射劑,"18955,A56078C",970411.0,0.5 mL/支/盒,"0.5 mL/支/盒 × 22,310盒",22310,950215,
疫苗及類毒素類,美商惠氏藥廠(亞洲)股份有限公司台灣分公司,沛兒肺炎球菌七價接合型疫苗-針筒裝注射劑,"18955,A56078C",970411.0,0.5 mL/支/盒,"0.5 mL/支/盒×12,510盒",12510,950215,
疫苗及類毒素類,美商惠氏藥廠(亞洲)股份有限公司台灣分公司,沛兒肺炎球菌七價接合型疫苗-針筒裝注射劑,"18955,A56078C",970411.0,0.5 mL/支/盒,"0.5 mL/支/盒 × 8,981盒",8981,950215,
抗毒素及抗血清類,行政院衛生署疾病管制局,抗龜殼花及赤尾鮐蛇毒血清凍晶注射劑,FH9501,1000207.0,1 劑/瓶/盒,"1 劑/瓶/盒 × 1,832盒",1832,950217,
其他生物藥品類,國光生物科技股份有限公司,精製結核菌素 RT23SSI,1488A,970930.0,1.5 mL/瓶 × 10瓶/盒,1.5 mL/瓶 × 10瓶/盒 × 554盒,83100,950315,
